dataset,minsup_pct,time_ours_ms,time_spmf_ms
Chess,90.0,2459.32,419.94
Chess,85.0,13864.41,496.95
Chess,80.0,53928.12,482.39
Chess,75.0,173931.15,602.3
Chess,70.0,369996.7,474.43
Chess,65.0,953800.5,675.98
Chess,60.0,2.14597678e6,998.87
Mushroom,50.0,3766.66,374.27
Mushroom,40.0,5977.18,387.44
Mushroom,30.0,35895.05,520.1
Mushroom,25.0,81702.58,593.27
Mushroom,20.0,115428.26,648.76
Mushroom,15.0,223766.99,953.97
Mushroom,10.0,677357.69,3501.57
Retail,10.0,17.01,302.71
Retail,5.0,34.45,269.14
Retail,2.0,38.26,282.08
Retail,1.0,168.11,302.88
Retail,0.5,2672.81,363.83
Retail,0.2,90800.04,1015.19
Retail,0.1,660987.61,4552.59
Accidents,90.0,86.67,360.4
Accidents,80.0,947.36,325.49
Accidents,70.0,3219.61,334.77
Accidents,60.0,14360.08,386.18
Accidents,50.0,63678.97,459.47
Accidents,40.0,293583.14,563.94
Accidents,30.0,1.14762761e6,1096.21
T10I4D100K,10.0,10.5,324.03
T10I4D100K,5.0,146.92,461.41
T10I4D100K,3.0,893.46,500.43
T10I4D100K,2.0,6012.16,524.76
T10I4D100K,1.0,79922.75,1230.31
T10I4D100K,0.7,173519.81,1864.98
T10I4D100K,0.5,288657.37,3269.66
