dataset,minsup_pct,n_fi
Chess,90.0,622
Chess,85.0,2669
Chess,80.0,8227
Chess,75.0,20993
Chess,70.0,48731
Chess,65.0,111239
Chess,60.0,254944
Mushroom,50.0,2847
Mushroom,40.0,5311
Mushroom,30.0,44319
Mushroom,25.0,115295
Mushroom,20.0,168847
Mushroom,15.0,353247
Mushroom,10.0,1436863
Retail,10.0,10
Retail,5.0,18
Retail,2.0,64
Retail,1.0,227
Retail,0.5,815
Retail,0.2,3463
Retail,0.1,11865
Accidents,90.0,45
Accidents,80.0,217
Accidents,70.0,851
Accidents,60.0,3203
Accidents,50.0,11919
Accidents,40.0,46365
Accidents,30.0,212465
T10I4D100K,10.0,0
T10I4D100K,5.0,10
T10I4D100K,3.0,60
T10I4D100K,2.0,155
T10I4D100K,1.0,385
T10I4D100K,0.7,603
T10I4D100K,0.5,1073
