rank,antecedent,consequent,support_pct,confidence_pct,lift
1,"citrus fruit, other vegetables","root vegetables",1.0371,35.92,3.295
2,"tropical fruit, other vegetables","root vegetables",1.2303,34.28,3.1448
3,"beef","root vegetables",1.7387,33.14,3.0404
4,"citrus fruit, root vegetables","other vegetables",1.0371,58.62,3.0296
5,"tropical fruit, root vegetables","other vegetables",1.2303,58.45,3.021
6,"whole milk, other vegetables","root vegetables",2.3183,30.98,2.8421
7,"whole milk, curd","yogurt",1.0066,38.52,2.7614
8,"rolls/buns, root vegetables","other vegetables",1.2201,50.21,2.5949
9,"yogurt, root vegetables","other vegetables",1.2913,50.0,2.5841
10,"tropical fruit, whole milk","yogurt",1.515,35.82,2.5675
11,"yogurt, whipped/sour cream","other vegetables",1.0168,49.02,2.5334
12,"other vegetables, whipped/sour cream","yogurt",1.0168,35.21,2.5241
13,"tropical fruit, other vegetables","yogurt",1.2303,34.28,2.4571
14,"whole milk, root vegetables","other vegetables",2.3183,47.4,2.4498
15,"whole milk, whipped/sour cream","yogurt",1.088,33.75,2.4196
16,"citrus fruit, whole milk","yogurt",1.0269,33.67,2.4134
17,"onions","other vegetables",1.4235,45.9,2.3723
18,"whole milk, pork","other vegetables",1.0168,45.87,2.3707
19,"whole milk, whipped/sour cream","other vegetables",1.4642,45.43,2.3477
20,"curd","yogurt",1.7285,32.44,2.3256
21,"whole milk, pip fruit","other vegetables",1.3523,44.93,2.3222
22,"berries","yogurt",1.0574,31.8,2.2798
23,"yogurt, curd","whole milk",1.0066,58.24,2.2791
24,"root vegetables","other vegetables",4.7382,43.47,2.2466
25,"other vegetables, butter","whole milk",1.149,57.36,2.2449
26,"cream cheese","yogurt",1.2405,31.28,2.2424
27,"tropical fruit, root vegetables","whole milk",1.1998,57.0,2.231
28,"citrus fruit, whole milk","other vegetables",1.3015,42.67,2.2051
29,"yogurt, root vegetables","whole milk",1.454,56.3,2.2034
30,"tropical fruit, yogurt","other vegetables",1.2303,42.01,2.1713
31,"other vegetables, domestic eggs","whole milk",1.2303,55.25,2.1623
32,"chicken","other vegetables",1.7895,41.71,2.1554
33,"whole milk, butter","other vegetables",1.149,41.7,2.155
34,"hamburger meat","other vegetables",1.3828,41.59,2.1494
35,"whole milk, domestic eggs","other vegetables",1.2303,41.02,2.1198
36,"tropical fruit, whole milk","other vegetables",1.7082,40.38,2.0871
37,"whipped/sour cream","other vegetables",2.8876,40.28,2.0819
38,"yogurt, whole milk","other vegetables",2.2267,39.75,2.0541
39,"yogurt, whipped/sour cream","whole milk",1.088,52.45,2.0527
40,"rolls/buns, root vegetables","whole milk",1.271,52.3,2.0469
41,"whole milk, fruit/vegetable juice","other vegetables",1.0473,39.31,2.0318
42,"pip fruit, other vegetables","whole milk",1.3523,51.75,2.0254
43,"tropical fruit, yogurt","whole milk",1.515,51.74,2.0248
44,"yogurt, other vegetables","whole milk",2.2267,51.29,2.0072
45,"other vegetables, whipped/sour cream","whole milk",1.4642,50.7,1.9844
46,"other vegetables, fruit/vegetable juice","whole milk",1.0473,49.76,1.9474
47,"butter","whole milk",2.7555,49.72,1.9461
48,"beef","other vegetables",1.9725,37.6,1.9431
49,"pork","other vegetables",2.1657,37.57,1.9415
50,"curd","whole milk",2.6131,49.05,1.9195
51,"butter milk","other vegetables",1.0371,37.09,1.9169
52,"other vegetables, root vegetables","whole milk",2.3183,48.93,1.9148
53,"frozen vegetables","other vegetables",1.7794,37.0,1.9121
54,"butter","other vegetables",2.0031,36.15,1.8681
55,"tropical fruit, other vegetables","whole milk",1.7082,47.59,1.8626
56,"citrus fruit, yogurt","whole milk",1.0269,47.42,1.8558
57,"domestic eggs","whole milk",2.9995,47.28,1.8502
58,"other vegetables, pork","whole milk",1.0168,46.95,1.8374
59,"other vegetables, pastry","whole milk",1.0574,46.85,1.8334
60,"domestic eggs","other vegetables",2.2267,35.1,1.8138
61,"citrus fruit","other vegetables",2.8876,34.89,1.8031
62,"whole milk, soda","other vegetables",1.393,34.77,1.797
63,"cream cheese","other vegetables",1.3726,34.62,1.789
64,"pip fruit","other vegetables",2.6131,34.54,1.7852
65,"frankfurter","rolls/buns",1.9217,32.59,1.7716
66,"yogurt, rolls/buns","whole milk",1.5557,45.27,1.7716
67,"sausage","rolls/buns",3.0605,32.58,1.771
68,"tropical fruit","other vegetables",3.5892,34.21,1.7678
69,"citrus fruit, other vegetables","whole milk",1.3015,45.07,1.7639
70,"whipped/sour cream","whole milk",3.2232,44.96,1.7598
71,"whole milk, sausage","other vegetables",1.0168,34.01,1.7579
72,"root vegetables","whole milk",4.8907,44.87,1.756
73,"tropical fruit, rolls/buns","whole milk",1.0981,44.63,1.7466
74,"margarine","other vegetables",1.9725,33.68,1.7407
75,"sugar","whole milk",1.5048,44.44,1.7394
76,"hamburger meat","whole milk",1.4743,44.34,1.7354
77,"yogurt, rolls/buns","other vegetables",1.149,33.43,1.7278
78,"ham","whole milk",1.149,44.14,1.7275
79,"sliced cheese","whole milk",1.0778,43.98,1.7214
80,"other vegetables, bottled water","whole milk",1.0778,43.44,1.7002
81,"white bread","other vegetables",1.3726,32.61,1.6853
82,"curd","other vegetables",1.7184,32.25,1.6668
83,"other vegetables, soda","whole milk",1.393,42.55,1.6651
84,"frozen vegetables","whole milk",2.0437,42.49,1.6631
85,"sugar","other vegetables",1.0778,31.83,1.6451
86,"other vegetables, rolls/buns","whole milk",1.7895,42.0,1.6439
87,"whole milk, pastry","other vegetables",1.0574,31.8,1.6437
88,"whole milk, rolls/buns","other vegetables",1.7895,31.6,1.633
89,"cream cheese","whole milk",1.6472,41.54,1.6257
90,"butter milk","whole milk",1.1591,41.45,1.6224
91,"whole milk, bottled water","other vegetables",1.0778,31.36,1.6208
92,"margarine","whole milk",2.4199,41.32,1.6171
93,"dessert","other vegetables",1.1591,31.23,1.6142
94,"yogurt","other vegetables",4.3416,31.12,1.6085
95,"hard cheese","whole milk",1.0066,41.08,1.6077
96,"chicken","whole milk",1.759,41.0,1.6044
97,"berries","other vegetables",1.0269,30.89,1.5963
98,"white bread","whole milk",1.7082,40.58,1.5881
99,"beef","whole milk",2.1251,40.5,1.5852
100,"tropical fruit","whole milk",4.2298,40.31,1.5776
101,"oil","whole milk",1.1286,40.22,1.574
102,"yogurt","whole milk",5.6024,40.16,1.5717
103,"pip fruit","whole milk",3.0097,39.78,1.557
104,"onions","whole milk",1.21,39.02,1.527
105,"hygiene articles","whole milk",1.2811,38.89,1.522
106,"brown bread","whole milk",2.5216,38.87,1.5213
107,"other vegetables","whole milk",7.4835,38.68,1.5136
108,"pork","whole milk",2.2166,38.45,1.5047
109,"yogurt, soda","whole milk",1.0473,38.29,1.4985
110,"other vegetables, sausage","whole milk",1.0168,37.74,1.4768
111,"napkins","whole milk",1.9725,37.67,1.4743
112,"pastry","whole milk",3.3249,37.37,1.4626
113,"dessert","whole milk",1.3726,36.99,1.4475
114,"citrus fruit","whole milk",3.0503,36.86,1.4424
115,"fruit/vegetable juice","whole milk",2.664,36.85,1.4422
