8 #SUP: 3035
12 #SUP: 4229
14 #SUP: 2657
15 #SUP: 3319
16 #SUP: 4128
17 #SUP: 4242
18 #SUP: 4226
21 #SUP: 3840
22 #SUP: 2807
24 #SUP: 3483
25 #SUP: 3202
27 #SUP: 3636
28 #SUP: 3265
29 #SUP: 3743
31 #SUP: 3968
41 #SUP: 3292
43 #SUP: 3685
59 #SUP: 3122
63 #SUP: 2695
66 #SUP: 3852
8 12 #SUP: 3022
8 16 #SUP: 2958
8 17 #SUP: 3034
8 18 #SUP: 3021
8 21 #SUP: 2728
8 24 #SUP: 3003
8 27 #SUP: 2575
8 29 #SUP: 2700
8 31 #SUP: 2855
8 43 #SUP: 2664
8 66 #SUP: 2723
12 14 #SUP: 2652
12 15 #SUP: 3306
12 16 #SUP: 4122
12 17 #SUP: 4228
12 18 #SUP: 4220
12 21 #SUP: 3826
12 22 #SUP: 2804
12 24 #SUP: 3470
12 25 #SUP: 3189
12 27 #SUP: 3624
12 28 #SUP: 3260
12 29 #SUP: 3730
12 31 #SUP: 3955
12 41 #SUP: 3283
12 43 #SUP: 3673
12 59 #SUP: 3119
12 63 #SUP: 2685
12 66 #SUP: 3838
14 16 #SUP: 2631
14 17 #SUP: 2657
14 18 #SUP: 2654
15 16 #SUP: 3232
15 17 #SUP: 3319
15 18 #SUP: 3305
15 21 #SUP: 3012
15 24 #SUP: 2699
15 25 #SUP: 2554
15 27 #SUP: 2876
15 28 #SUP: 2570
15 29 #SUP: 2926
15 31 #SUP: 3129
15 41 #SUP: 2616
15 43 #SUP: 2887
15 66 #SUP: 2981
16 17 #SUP: 4128
16 18 #SUP: 4119
16 21 #SUP: 3739
16 22 #SUP: 2756
16 24 #SUP: 3389
16 25 #SUP: 3117
16 27 #SUP: 3540
16 28 #SUP: 3161
16 29 #SUP: 3637
16 31 #SUP: 3891
16 41 #SUP: 3218
16 43 #SUP: 3592
16 59 #SUP: 3068
16 63 #SUP: 2611
16 66 #SUP: 3738
17 18 #SUP: 4226
17 21 #SUP: 3840
17 22 #SUP: 2807
17 24 #SUP: 3483
17 25 #SUP: 3202
17 27 #SUP: 3636
17 28 #SUP: 3265
17 29 #SUP: 3743
17 31 #SUP: 3968
17 41 #SUP: 3292
17 43 #SUP: 3685
17 59 #SUP: 3122
17 63 #SUP: 2695
17 66 #SUP: 3852
18 21 #SUP: 3824
18 22 #SUP: 2803
18 24 #SUP: 3469
18 25 #SUP: 3189
18 27 #SUP: 3621
18 28 #SUP: 3256
18 29 #SUP: 3728
18 31 #SUP: 3953
18 41 #SUP: 3278
18 43 #SUP: 3673
18 59 #SUP: 3115
18 63 #SUP: 2683
18 66 #SUP: 3836
21 24 #SUP: 3150
21 25 #SUP: 2834
21 27 #SUP: 3503
21 28 #SUP: 2912
21 29 #SUP: 3438
21 31 #SUP: 3609
21 41 #SUP: 3006
21 43 #SUP: 3334
21 59 #SUP: 2872
21 66 #SUP: 3500
22 31 #SUP: 2686
24 25 #SUP: 2644
24 27 #SUP: 2978
24 28 #SUP: 2671
24 29 #SUP: 3090
24 31 #SUP: 3273
24 41 #SUP: 2716
24 43 #SUP: 3049
24 59 #SUP: 2595
24 66 #SUP: 3145
25 27 #SUP: 2668
25 28 #SUP: 2555
25 29 #SUP: 2790
25 31 #SUP: 2976
25 43 #SUP: 2810
25 66 #SUP: 2889
27 28 #SUP: 2753
27 29 #SUP: 3226
27 31 #SUP: 3410
27 41 #SUP: 2856
27 43 #SUP: 3166
27 59 #SUP: 2744
27 66 #SUP: 3310
28 29 #SUP: 2835
28 31 #SUP: 3094
28 41 #SUP: 2595
28 43 #SUP: 2847
28 66 #SUP: 2910
29 31 #SUP: 3498
29 41 #SUP: 2935
29 43 #SUP: 3256
29 59 #SUP: 2779
29 66 #SUP: 3402
31 41 #SUP: 3183
31 43 #SUP: 3454
31 59 #SUP: 3050
31 66 #SUP: 3601
41 43 #SUP: 2879
41 59 #SUP: 2731
41 66 #SUP: 2979
43 59 #SUP: 2797
43 66 #SUP: 3348
59 66 #SUP: 2808
8 12 16 #SUP: 2952
8 12 17 #SUP: 3021
8 12 18 #SUP: 3015
8 12 21 #SUP: 2715
8 12 24 #SUP: 2990
8 12 27 #SUP: 2564
8 12 29 #SUP: 2687
8 12 31 #SUP: 2843
8 12 43 #SUP: 2653
8 12 66 #SUP: 2710
8 16 17 #SUP: 2958
8 16 18 #SUP: 2951
8 16 21 #SUP: 2662
8 16 24 #SUP: 2927
8 16 29 #SUP: 2629
8 16 31 #SUP: 2800
8 16 43 #SUP: 2604
8 16 66 #SUP: 2647
8 17 18 #SUP: 3021
8 17 21 #SUP: 2728
8 17 24 #SUP: 3003
8 17 27 #SUP: 2575
8 17 29 #SUP: 2700
8 17 31 #SUP: 2855
8 17 43 #SUP: 2664
8 17 66 #SUP: 2723
8 18 21 #SUP: 2715
8 18 24 #SUP: 2990
8 18 27 #SUP: 2563
8 18 29 #SUP: 2687
8 18 31 #SUP: 2843
8 18 43 #SUP: 2654
8 18 66 #SUP: 2710
8 21 24 #SUP: 2699
8 21 31 #SUP: 2573
8 24 27 #SUP: 2549
8 24 29 #SUP: 2673
8 24 31 #SUP: 2826
8 24 43 #SUP: 2636
8 24 66 #SUP: 2695
8 31 66 #SUP: 2563
12 14 16 #SUP: 2626
12 14 17 #SUP: 2652
12 14 18 #SUP: 2650
12 15 16 #SUP: 3226
12 15 17 #SUP: 3306
12 15 18 #SUP: 3300
12 15 21 #SUP: 2999
12 15 24 #SUP: 2687
12 15 27 #SUP: 2865
12 15 28 #SUP: 2566
12 15 29 #SUP: 2914
12 15 31 #SUP: 3117
12 15 41 #SUP: 2607
12 15 43 #SUP: 2876
12 15 66 #SUP: 2968
12 16 17 #SUP: 4122
12 16 18 #SUP: 4114
12 16 21 #SUP: 3733
12 16 22 #SUP: 2754
12 16 24 #SUP: 3383
12 16 25 #SUP: 3112
12 16 27 #SUP: 3536
12 16 28 #SUP: 3158
12 16 29 #SUP: 3631
12 16 31 #SUP: 3886
12 16 41 #SUP: 3215
12 16 43 #SUP: 3587
12 16 59 #SUP: 3066
12 16 63 #SUP: 2608
12 16 66 #SUP: 3732
12 17 18 #SUP: 4220
12 17 21 #SUP: 3826
12 17 22 #SUP: 2804
12 17 24 #SUP: 3470
12 17 25 #SUP: 3189
12 17 27 #SUP: 3624
12 17 28 #SUP: 3260
12 17 29 #SUP: 3730
12 17 31 #SUP: 3955
12 17 41 #SUP: 3283
12 17 43 #SUP: 3673
12 17 59 #SUP: 3119
12 17 63 #SUP: 2685
12 17 66 #SUP: 3838
12 18 21 #SUP: 3818
12 18 22 #SUP: 2800
12 18 24 #SUP: 3463
12 18 25 #SUP: 3184
12 18 27 #SUP: 3617
12 18 28 #SUP: 3252
12 18 29 #SUP: 3722
12 18 31 #SUP: 3948
12 18 41 #SUP: 3276
12 18 43 #SUP: 3668
12 18 59 #SUP: 3112
12 18 63 #SUP: 2680
12 18 66 #SUP: 3830
12 21 24 #SUP: 3137
12 21 25 #SUP: 2821
12 21 27 #SUP: 3491
12 21 28 #SUP: 2907
12 21 29 #SUP: 3425
12 21 31 #SUP: 3596
12 21 41 #SUP: 2997
12 21 43 #SUP: 3322
12 21 59 #SUP: 2869
12 21 66 #SUP: 3486
12 22 31 #SUP: 2684
12 24 25 #SUP: 2632
12 24 27 #SUP: 2967
12 24 28 #SUP: 2667
12 24 29 #SUP: 3077
12 24 31 #SUP: 3261
12 24 41 #SUP: 2707
12 24 43 #SUP: 3038
12 24 59 #SUP: 2592
12 24 66 #SUP: 3132
12 25 27 #SUP: 2657
12 25 28 #SUP: 2551
12 25 29 #SUP: 2778
12 25 31 #SUP: 2964
12 25 43 #SUP: 2799
12 25 66 #SUP: 2876
12 27 28 #SUP: 2749
12 27 29 #SUP: 3215
12 27 31 #SUP: 3399
12 27 41 #SUP: 2849
12 27 43 #SUP: 3155
12 27 59 #SUP: 2742
12 27 66 #SUP: 3298
12 28 29 #SUP: 2831
12 28 31 #SUP: 3090
12 28 41 #SUP: 2594
12 28 43 #SUP: 2843
12 28 66 #SUP: 2905
12 29 31 #SUP: 3486
12 29 41 #SUP: 2926
12 29 43 #SUP: 3245
12 29 59 #SUP: 2776
12 29 66 #SUP: 3389
12 31 41 #SUP: 3174
12 31 43 #SUP: 3443
12 31 59 #SUP: 3047
12 31 66 #SUP: 3588
12 41 43 #SUP: 2872
12 41 59 #SUP: 2730
12 41 66 #SUP: 2970
12 43 59 #SUP: 2794
12 43 66 #SUP: 3336
12 59 66 #SUP: 2805
14 16 17 #SUP: 2631
14 16 18 #SUP: 2628
14 17 18 #SUP: 2654
15 16 17 #SUP: 3232
15 16 18 #SUP: 3225
15 16 21 #SUP: 2936
15 16 24 #SUP: 2627
15 16 27 #SUP: 2806
15 16 29 #SUP: 2847
15 16 31 #SUP: 3071
15 16 41 #SUP: 2559
15 16 43 #SUP: 2816
15 16 66 #SUP: 2894
15 17 18 #SUP: 3305
15 17 21 #SUP: 3012
15 17 24 #SUP: 2699
15 17 25 #SUP: 2554
15 17 27 #SUP: 2876
15 17 28 #SUP: 2570
15 17 29 #SUP: 2926
15 17 31 #SUP: 3129
15 17 41 #SUP: 2616
15 17 43 #SUP: 2887
15 17 66 #SUP: 2981
15 18 21 #SUP: 2998
15 18 24 #SUP: 2687
15 18 27 #SUP: 2863
15 18 28 #SUP: 2563
15 18 29 #SUP: 2913
15 18 31 #SUP: 3116
15 18 41 #SUP: 2604
15 18 43 #SUP: 2876
15 18 66 #SUP: 2967
15 21 27 #SUP: 2769
15 21 29 #SUP: 2691
15 21 31 #SUP: 2853
15 21 43 #SUP: 2622
15 21 66 #SUP: 2717
15 24 31 #SUP: 2559
15 27 29 #SUP: 2546
15 27 31 #SUP: 2721
15 27 66 #SUP: 2590
15 29 31 #SUP: 2760
15 29 43 #SUP: 2552
15 29 66 #SUP: 2630
15 31 43 #SUP: 2723
15 31 66 #SUP: 2811
15 43 66 #SUP: 2594
16 17 18 #SUP: 4119
16 17 21 #SUP: 3739
16 17 22 #SUP: 2756
16 17 24 #SUP: 3389
16 17 25 #SUP: 3117
16 17 27 #SUP: 3540
16 17 28 #SUP: 3161
16 17 29 #SUP: 3637
16 17 31 #SUP: 3891
16 17 41 #SUP: 3218
16 17 43 #SUP: 3592
16 17 59 #SUP: 3068
16 17 63 #SUP: 2611
16 17 66 #SUP: 3738
16 18 21 #SUP: 3730
16 18 22 #SUP: 2752
16 18 24 #SUP: 3381
16 18 25 #SUP: 3111
16 18 27 #SUP: 3532
16 18 28 #SUP: 3153
16 18 29 #SUP: 3628
16 18 31 #SUP: 3883
16 18 41 #SUP: 3210
16 18 43 #SUP: 3586
16 18 59 #SUP: 3061
16 18 63 #SUP: 2605
16 18 66 #SUP: 3729
16 21 24 #SUP: 3068
16 21 25 #SUP: 2760
16 21 27 #SUP: 3415
16 21 28 #SUP: 2821
16 21 29 #SUP: 3344
16 21 31 #SUP: 3540
16 21 41 #SUP: 2940
16 21 43 #SUP: 3252
16 21 59 #SUP: 2824
16 21 66 #SUP: 3399
16 22 31 #SUP: 2650
16 24 25 #SUP: 2575
16 24 27 #SUP: 2899
16 24 28 #SUP: 2587
16 24 29 #SUP: 3001
16 24 31 #SUP: 3207
16 24 41 #SUP: 2654
16 24 43 #SUP: 2973
16 24 59 #SUP: 2549
16 24 66 #SUP: 3051
16 25 27 #SUP: 2598
16 25 29 #SUP: 2712
16 25 31 #SUP: 2918
16 25 43 #SUP: 2741
16 25 66 #SUP: 2804
16 27 28 #SUP: 2667
16 27 29 #SUP: 3137
16 27 31 #SUP: 3342
16 27 41 #SUP: 2793
16 27 43 #SUP: 3090
16 27 59 #SUP: 2696
16 27 66 #SUP: 3214
16 28 29 #SUP: 2739
16 28 31 #SUP: 3027
16 28 43 #SUP: 2762
16 28 66 #SUP: 2806
16 29 31 #SUP: 3424
16 29 41 #SUP: 2864
16 29 43 #SUP: 3169
16 29 59 #SUP: 2727
16 29 66 #SUP: 3296
16 31 41 #SUP: 3126
16 31 43 #SUP: 3392
16 31 59 #SUP: 3003
16 31 66 #SUP: 3524
16 41 43 #SUP: 2821
16 41 59 #SUP: 2682
16 41 66 #SUP: 2905
16 43 59 #SUP: 2756
16 43 66 #SUP: 3255
16 59 66 #SUP: 2754
17 18 21 #SUP: 3824
17 18 22 #SUP: 2803
17 18 24 #SUP: 3469
17 18 25 #SUP: 3189
17 18 27 #SUP: 3621
17 18 28 #SUP: 3256
17 18 29 #SUP: 3728
17 18 31 #SUP: 3953
17 18 41 #SUP: 3278
17 18 43 #SUP: 3673
17 18 59 #SUP: 3115
17 18 63 #SUP: 2683
17 18 66 #SUP: 3836
17 21 24 #SUP: 3150
17 21 25 #SUP: 2834
