2 #SUP: 2692
3 #SUP: 1749
6 #SUP: 945
10 #SUP: 1000
11 #SUP: 1159
13 #SUP: 937
23 #SUP: 2084
24 #SUP: 898
28 #SUP: 1891
34 #SUP: 2981
36 #SUP: 2108
39 #SUP: 2518
52 #SUP: 1090
53 #SUP: 1891
54 #SUP: 1120
56 #SUP: 1157
59 #SUP: 2578
63 #SUP: 2386
67 #SUP: 2276
76 #SUP: 2268
85 #SUP: 2981
86 #SUP: 2981
90 #SUP: 2981
93 #SUP: 2194
98 #SUP: 1431
99 #SUP: 1483
114 #SUP: 1253
116 #SUP: 1145
2 3 #SUP: 1587
2 11 #SUP: 1132
2 23 #SUP: 1828
2 28 #SUP: 1891
2 34 #SUP: 2691
2 36 #SUP: 1827
2 39 #SUP: 2499
2 53 #SUP: 1891
2 56 #SUP: 1123
2 59 #SUP: 2307
2 63 #SUP: 2115
2 67 #SUP: 2005
2 76 #SUP: 1997
2 85 #SUP: 2691
2 86 #SUP: 2691
2 90 #SUP: 2691
2 93 #SUP: 1923
2 98 #SUP: 1296
2 99 #SUP: 1347
2 114 #SUP: 1120
2 116 #SUP: 1123
3 23 #SUP: 1299
3 28 #SUP: 1186
3 34 #SUP: 1748
3 36 #SUP: 1307
3 39 #SUP: 1525
3 53 #SUP: 1202
3 59 #SUP: 1537
3 63 #SUP: 1441
3 67 #SUP: 1212
3 76 #SUP: 1209
3 85 #SUP: 1748
3 86 #SUP: 1748
3 90 #SUP: 1748
3 93 #SUP: 1345
6 34 #SUP: 945
6 85 #SUP: 945
6 86 #SUP: 945
6 90 #SUP: 945
10 23 #SUP: 1000
10 34 #SUP: 1000
10 36 #SUP: 1000
10 59 #SUP: 1000
10 85 #SUP: 1000
10 86 #SUP: 1000
10 90 #SUP: 1000
10 93 #SUP: 1000
11 28 #SUP: 1083
11 34 #SUP: 1158
11 39 #SUP: 1006
11 53 #SUP: 1035
11 59 #SUP: 947
11 63 #SUP: 947
11 85 #SUP: 1158
11 86 #SUP: 1158
11 90 #SUP: 1158
13 34 #SUP: 937
13 85 #SUP: 937
13 86 #SUP: 937
13 90 #SUP: 937
23 28 #SUP: 1027
23 34 #SUP: 2083
23 36 #SUP: 1987
23 39 #SUP: 1731
23 52 #SUP: 960
23 53 #SUP: 1123
23 56 #SUP: 1123
23 59 #SUP: 2083
23 63 #SUP: 1891
23 67 #SUP: 1397
23 76 #SUP: 1389
23 85 #SUP: 2083
23 86 #SUP: 2083
23 90 #SUP: 2083
23 93 #SUP: 2083
23 98 #SUP: 992
23 99 #SUP: 1043
23 116 #SUP: 1123
24 34 #SUP: 898
24 85 #SUP: 898
24 86 #SUP: 898
24 90 #SUP: 898
28 34 #SUP: 1891
28 36 #SUP: 1123
28 39 #SUP: 1795
28 53 #SUP: 1795
28 56 #SUP: 1027
28 59 #SUP: 1507
28 63 #SUP: 1507
28 67 #SUP: 1205
28 76 #SUP: 1197
28 85 #SUP: 1891
28 86 #SUP: 1891
28 90 #SUP: 1891
28 93 #SUP: 1123
28 98 #SUP: 944
28 99 #SUP: 947
28 116 #SUP: 1027
34 36 #SUP: 2108
34 39 #SUP: 2518
34 52 #SUP: 1090
34 53 #SUP: 1891
34 54 #SUP: 1120
34 56 #SUP: 1157
34 59 #SUP: 2578
34 63 #SUP: 2386
34 67 #SUP: 2276
34 76 #SUP: 2268
34 85 #SUP: 2981
34 86 #SUP: 2981
34 90 #SUP: 2981
34 93 #SUP: 2194
34 98 #SUP: 1431
34 99 #SUP: 1483
34 114 #SUP: 1253
34 116 #SUP: 1145
36 39 #SUP: 1750
36 52 #SUP: 1081
36 53 #SUP: 1027
36 56 #SUP: 1052
36 59 #SUP: 2089
36 63 #SUP: 1897
36 67 #SUP: 1403
36 76 #SUP: 1395
36 85 #SUP: 2108
36 86 #SUP: 2108
36 90 #SUP: 2108
36 93 #SUP: 2089
36 98 #SUP: 1044
36 99 #SUP: 1045
36 116 #SUP: 1040
39 53 #SUP: 1795
39 56 #SUP: 1046
39 59 #SUP: 2115
39 63 #SUP: 1923
39 67 #SUP: 1813
39 76 #SUP: 1805
39 85 #SUP: 2518
39 86 #SUP: 2518
39 90 #SUP: 2518
39 93 #SUP: 1731
39 98 #SUP: 1248
39 99 #SUP: 1251
39 114 #SUP: 1125
39 116 #SUP: 1034
52 59 #SUP: 1071
52 67 #SUP: 1071
52 76 #SUP: 1071
52 85 #SUP: 1090
52 86 #SUP: 1090
52 90 #SUP: 1090
52 93 #SUP: 1071
53 56 #SUP: 1123
53 59 #SUP: 1507
53 63 #SUP: 1507
53 67 #SUP: 1205
53 76 #SUP: 1197
53 85 #SUP: 1891
53 86 #SUP: 1891
53 90 #SUP: 1891
53 93 #SUP: 1123
53 98 #SUP: 896
53 99 #SUP: 947
53 116 #SUP: 1123
54 67 #SUP: 1120
54 76 #SUP: 1120
54 85 #SUP: 1120
54 86 #SUP: 1120
54 90 #SUP: 1120
54 114 #SUP: 896
56 59 #SUP: 1138
56 63 #SUP: 1138
56 85 #SUP: 1157
56 86 #SUP: 1157
56 90 #SUP: 1157
56 93 #SUP: 1138
56 116 #SUP: 1145
59 63 #SUP: 2194
59 67 #SUP: 1892
59 76 #SUP: 1884
59 85 #SUP: 2578
59 86 #SUP: 2578
59 90 #SUP: 2578
59 93 #SUP: 2194
59 98 #SUP: 1239
59 99 #SUP: 1291
59 116 #SUP: 1138
63 67 #SUP: 1700
63 76 #SUP: 1692
63 85 #SUP: 2386
63 86 #SUP: 2386
63 90 #SUP: 2386
63 93 #SUP: 2002
63 98 #SUP: 1143
63 99 #SUP: 1195
63 116 #SUP: 1138
67 76 #SUP: 2048
67 85 #SUP: 2276
67 86 #SUP: 2276
67 90 #SUP: 2276
67 93 #SUP: 1508
67 98 #SUP: 1087
67 99 #SUP: 1141
67 114 #SUP: 1248
76 85 #SUP: 2268
76 86 #SUP: 2268
76 90 #SUP: 2268
76 93 #SUP: 1500
76 98 #SUP: 1086
76 99 #SUP: 1134
76 114 #SUP: 1248
85 86 #SUP: 2981
85 90 #SUP: 2981
85 93 #SUP: 2194
85 98 #SUP: 1431
85 99 #SUP: 1483
85 114 #SUP: 1253
85 116 #SUP: 1145
86 90 #SUP: 2981
86 93 #SUP: 2194
86 98 #SUP: 1431
86 99 #SUP: 1483
86 114 #SUP: 1253
86 116 #SUP: 1145
90 93 #SUP: 2194
90 98 #SUP: 1431
90 99 #SUP: 1483
90 114 #SUP: 1253
90 116 #SUP: 1145
93 98 #SUP: 1047
93 99 #SUP: 1099
93 116 #SUP: 1138
2 3 23 #SUP: 1171
2 3 28 #SUP: 1186
2 3 34 #SUP: 1586
2 3 36 #SUP: 1154
2 3 39 #SUP: 1506
2 3 53 #SUP: 1202
2 3 59 #SUP: 1394
2 3 63 #SUP: 1298
2 3 67 #SUP: 1069
2 3 76 #SUP: 1066
2 3 85 #SUP: 1586
2 3 86 #SUP: 1586
2 3 90 #SUP: 1586
2 3 93 #SUP: 1202
2 11 28 #SUP: 1083
2 11 34 #SUP: 1131
2 11 39 #SUP: 987
2 11 53 #SUP: 1035
2 11 59 #SUP: 939
2 11 63 #SUP: 939
2 11 85 #SUP: 1131
2 11 86 #SUP: 1131
2 11 90 #SUP: 1131
2 23 28 #SUP: 1027
2 23 34 #SUP: 1827
2 23 36 #SUP: 1731
2 23 39 #SUP: 1731
2 23 53 #SUP: 1123
2 23 56 #SUP: 1123
2 23 59 #SUP: 1827
2 23 63 #SUP: 1635
2 23 67 #SUP: 1141
2 23 76 #SUP: 1133
2 23 85 #SUP: 1827
2 23 86 #SUP: 1827
2 23 90 #SUP: 1827
2 23 93 #SUP: 1827
2 23 99 #SUP: 915
2 23 116 #SUP: 1123
2 28 34 #SUP: 1891
2 28 36 #SUP: 1123
2 28 39 #SUP: 1795
2 28 53 #SUP: 1795
2 28 56 #SUP: 1027
2 28 59 #SUP: 1507
2 28 63 #SUP: 1507
2 28 67 #SUP: 1205
2 28 76 #SUP: 1197
2 28 85 #SUP: 1891
2 28 86 #SUP: 1891
2 28 90 #SUP: 1891
2 28 93 #SUP: 1123
2 28 98 #SUP: 944
2 28 99 #SUP: 947
2 28 116 #SUP: 1027
2 34 36 #SUP: 1827
2 34 39 #SUP: 2499
2 34 53 #SUP: 1891
2 34 56 #SUP: 1123
2 34 59 #SUP: 2307
2 34 63 #SUP: 2115
2 34 67 #SUP: 2005
2 34 76 #SUP: 1997
2 34 85 #SUP: 2691
2 34 86 #SUP: 2691
2 34 90 #SUP: 2691
2 34 93 #SUP: 1923
2 34 98 #SUP: 1296
2 34 99 #SUP: 1347
2 34 114 #SUP: 1120
2 34 116 #SUP: 1123
2 36 39 #SUP: 1731
2 36 53 #SUP: 1027
2 36 56 #SUP: 1027
2 36 59 #SUP: 1827
2 36 63 #SUP: 1635
2 36 67 #SUP: 1141
2 36 76 #SUP: 1133
2 36 85 #SUP: 1827
2 36 86 #SUP: 1827
2 36 90 #SUP: 1827
2 36 93 #SUP: 1827
2 36 98 #SUP: 912
2 36 99 #SUP: 915
2 36 116 #SUP: 1027
2 39 53 #SUP: 1795
2 39 56 #SUP: 1027
2 39 59 #SUP: 2115
2 39 63 #SUP: 1923
2 39 67 #SUP: 1813
2 39 76 #SUP: 1805
2 39 85 #SUP: 2499
2 39 86 #SUP: 2499
2 39 90 #SUP: 2499
2 39 93 #SUP: 1731
2 39 98 #SUP: 1248
2 39 99 #SUP: 1251
2 39 114 #SUP: 1120
2 39 116 #SUP: 1027
2 53 56 #SUP: 1123
2 53 59 #SUP: 1507
2 53 63 #SUP: 1507
2 53 67 #SUP: 1205
2 53 76 #SUP: 1197
2 53 85 #SUP: 1891
2 53 86 #SUP: 1891
2 53 90 #SUP: 1891
2 53 93 #SUP: 1123
2 53 98 #SUP: 896
2 53 99 #SUP: 947
2 53 116 #SUP: 1123
2 56 59 #SUP: 1123
2 56 63 #SUP: 1123
2 56 85 #SUP: 1123
2 56 86 #SUP: 1123
2 56 90 #SUP: 1123
2 56 93 #SUP: 1123
2 56 116 #SUP: 1123
2 59 63 #SUP: 1923
2 59 67 #SUP: 1621
2 59 76 #SUP: 1613
2 59 85 #SUP: 2307
2 59 86 #SUP: 2307
2 59 90 #SUP: 2307
2 59 93 #SUP: 1923
2 59 98 #SUP: 1104
2 59 99 #SUP: 1155
2 59 116 #SUP: 1123
2 63 67 #SUP: 1429
2 63 76 #SUP: 1421
2 63 85 #SUP: 2115
2 63 86 #SUP: 2115
2 63 90 #SUP: 2115
2 63 93 #SUP: 1731
2 63 98 #SUP: 1008
2 63 99 #SUP: 1059
2 63 116 #SUP: 1123
2 67 76 #SUP: 1777
2 67 85 #SUP: 2005
2 67 86 #SUP: 2005
2 67 90 #SUP: 2005
2 67 93 #SUP: 1237
2 67 98 #SUP: 952
2 67 99 #SUP: 1005
2 67 114 #SUP: 1120
2 76 85 #SUP: 1997
2 76 86 #SUP: 1997
2 76 90 #SUP: 1997
2 76 93 #SUP: 1229
2 76 98 #SUP: 951
2 76 99 #SUP: 998
2 76 114 #SUP: 1120
2 85 86 #SUP: 2691
2 85 90 #SUP: 2691
2 85 93 #SUP: 1923
2 85 98 #SUP: 1296
2 85 99 #SUP: 1347
2 85 114 #SUP: 1120
2 85 116 #SUP: 1123
2 86 90 #SUP: 2691
2 86 93 #SUP: 1923
2 86 98 #SUP: 1296
2 86 99 #SUP: 1347
2 86 114 #SUP: 1120
2 86 116 #SUP: 1123
2 90 93 #SUP: 1923
2 90 98 #SUP: 1296
2 90 99 #SUP: 1347
2 90 114 #SUP: 1120
2 90 116 #SUP: 1123
