11 #SUP: 2129
38 #SUP: 2196
27 #SUP: 2205
54 #SUP: 2216
21 #SUP: 2225
72 #SUP: 2345
74 #SUP: 2407
17 #SUP: 2500
31 #SUP: 2526
46 #SUP: 2556
44 #SUP: 2612
64 #SUP: 2631
42 #SUP: 2714
3 #SUP: 2839
25 #SUP: 2860
9 #SUP: 2874
5 #SUP: 2971
48 #SUP: 3013
56 #SUP: 3021
66 #SUP: 3021
34 #SUP: 3040
62 #SUP: 3060
7 #SUP: 3076
36 #SUP: 3099
60 #SUP: 3149
40 #SUP: 3170
29 #SUP: 3181
52 #SUP: 3185
58 #SUP: 3195
52 58 #SUP: 3184
29 52 #SUP: 3170
29 58 #SUP: 3180
29 40 #SUP: 3155
40 52 #SUP: 3159
40 58 #SUP: 3169
40 60 #SUP: 3124
29 60 #SUP: 3136
52 60 #SUP: 3138
58 60 #SUP: 3148
36 60 #SUP: 3052
36 40 #SUP: 3073
29 36 #SUP: 3084
36 52 #SUP: 3088
36 58 #SUP: 3098
7 36 #SUP: 2979
7 60 #SUP: 3031
7 40 #SUP: 3050
7 29 #SUP: 3069
7 52 #SUP: 3065
7 58 #SUP: 3075
7 62 #SUP: 2940
36 62 #SUP: 2963
60 62 #SUP: 3014
40 62 #SUP: 3045
29 62 #SUP: 3045
52 62 #SUP: 3049
58 62 #SUP: 3060
34 62 #SUP: 2913
7 34 #SUP: 2930
34 36 #SUP: 2943
34 60 #SUP: 2995
34 40 #SUP: 3017
29 34 #SUP: 3036
34 52 #SUP: 3031
34 58 #SUP: 3039
34 66 #SUP: 2886
62 66 #SUP: 2892
7 66 #SUP: 2906
36 66 #SUP: 2924
60 66 #SUP: 3021
40 66 #SUP: 2997
29 66 #SUP: 3013
52 66 #SUP: 3010
58 66 #SUP: 3020
56 66 #SUP: 2846
34 56 #SUP: 2884
56 62 #SUP: 2923
7 56 #SUP: 2919
36 56 #SUP: 2924
56 60 #SUP: 2974
40 56 #SUP: 2996
29 56 #SUP: 3006
52 56 #SUP: 3016
56 58 #SUP: 3020
48 56 #SUP: 2838
48 66 #SUP: 2873
34 48 #SUP: 2857
48 62 #SUP: 2877
7 48 #SUP: 2893
36 48 #SUP: 2987
48 60 #SUP: 2986
40 48 #SUP: 2987
29 48 #SUP: 2998
48 52 #SUP: 3002
48 58 #SUP: 3012
5 48 #SUP: 2788
5 56 #SUP: 2803
5 66 #SUP: 2832
5 34 #SUP: 2889
5 62 #SUP: 2859
5 7 #SUP: 2859
5 36 #SUP: 2874
5 60 #SUP: 2924
5 40 #SUP: 2950
5 29 #SUP: 2964
5 52 #SUP: 2960
5 58 #SUP: 2970
5 9 #SUP: 2683
9 48 #SUP: 2691
9 56 #SUP: 2752
9 66 #SUP: 2715
9 34 #SUP: 2753
9 62 #SUP: 2750
7 9 #SUP: 2755
9 36 #SUP: 2777
9 60 #SUP: 2835
9 40 #SUP: 2852
9 29 #SUP: 2866
9 52 #SUP: 2866
9 58 #SUP: 2873
9 25 #SUP: 2543
5 25 #SUP: 2649
25 48 #SUP: 2749
25 56 #SUP: 2697
25 66 #SUP: 2715
25 34 #SUP: 2712
25 62 #SUP: 2738
7 25 #SUP: 2743
25 36 #SUP: 2794
25 60 #SUP: 2832
25 40 #SUP: 2834
25 29 #SUP: 2848
25 52 #SUP: 2850
25 58 #SUP: 2859
3 25 #SUP: 2520
3 9 #SUP: 2571
3 5 #SUP: 2639
3 48 #SUP: 2672
3 56 #SUP: 2704
3 66 #SUP: 2703
3 34 #SUP: 2706
3 62 #SUP: 2724
3 7 #SUP: 2765
3 36 #SUP: 2746
3 60 #SUP: 2805
3 40 #SUP: 2813
3 29 #SUP: 2839
3 52 #SUP: 2830
3 58 #SUP: 2839
3 42 #SUP: 2411
25 42 #SUP: 2416
9 42 #SUP: 2446
5 42 #SUP: 2562
42 48 #SUP: 2564
42 56 #SUP: 2570
42 66 #SUP: 2612
34 42 #SUP: 2602
42 62 #SUP: 2598
7 42 #SUP: 2603
36 42 #SUP: 2626
42 60 #SUP: 2688
40 42 #SUP: 2697
29 42 #SUP: 2702
42 52 #SUP: 2708
42 58 #SUP: 2713
42 64 #SUP: 2464
3 64 #SUP: 2353
25 64 #SUP: 2326
9 64 #SUP: 2365
5 64 #SUP: 2489
48 64 #SUP: 2478
56 64 #SUP: 2498
64 66 #SUP: 2497
34 64 #SUP: 2531
62 64 #SUP: 2524
7 64 #SUP: 2518
36 64 #SUP: 2551
60 64 #SUP: 2584
40 64 #SUP: 2630
29 64 #SUP: 2616
52 64 #SUP: 2630
58 64 #SUP: 2630
44 64 #SUP: 2211
42 44 #SUP: 2250
3 44 #SUP: 2268
25 44 #SUP: 2352
9 44 #SUP: 2353
5 44 #SUP: 2461
44 48 #SUP: 2439
44 56 #SUP: 2471
44 66 #SUP: 2454
34 44 #SUP: 2480
44 62 #SUP: 2522
7 44 #SUP: 2500
36 44 #SUP: 2525
44 60 #SUP: 2565
40 44 #SUP: 2586
29 44 #SUP: 2597
44 52 #SUP: 2601
44 58 #SUP: 2611
44 46 #SUP: 2114
46 64 #SUP: 2145
42 46 #SUP: 2220
3 46 #SUP: 2251
25 46 #SUP: 2300
9 46 #SUP: 2266
5 46 #SUP: 2385
46 48 #SUP: 2404
46 56 #SUP: 2405
46 66 #SUP: 2425
34 46 #SUP: 2429
46 62 #SUP: 2449
7 46 #SUP: 2436
36 46 #SUP: 2473
46 60 #SUP: 2517
40 46 #SUP: 2532
29 46 #SUP: 2541
46 52 #SUP: 2545
46 58 #SUP: 2555
31 44 #SUP: 2078
31 64 #SUP: 2197
31 42 #SUP: 2258
3 31 #SUP: 2360
25 31 #SUP: 2227
9 31 #SUP: 2269
5 31 #SUP: 2367
31 48 #SUP: 2359
31 56 #SUP: 2371
31 66 #SUP: 2424
31 34 #SUP: 2395
31 62 #SUP: 2409
7 31 #SUP: 2435
31 36 #SUP: 2441
31 60 #SUP: 2509
31 40 #SUP: 2513
29 31 #SUP: 2517
31 52 #SUP: 2515
31 58 #SUP: 2526
17 42 #SUP: 2114
3 17 #SUP: 2272
17 25 #SUP: 2192
9 17 #SUP: 2280
5 17 #SUP: 2275
17 48 #SUP: 2339
17 56 #SUP: 2362
17 66 #SUP: 2349
17 34 #SUP: 2376
17 62 #SUP: 2368
7 17 #SUP: 2422
17 36 #SUP: 2404
17 60 #SUP: 2457
17 40 #SUP: 2474
17 29 #SUP: 2486
17 52 #SUP: 2489
17 58 #SUP: 2499
25 74 #SUP: 2165
9 74 #SUP: 2186
5 74 #SUP: 2240
48 74 #SUP: 2234
56 74 #SUP: 2340
66 74 #SUP: 2232
34 74 #SUP: 2290
62 74 #SUP: 2341
7 74 #SUP: 2321
36 74 #SUP: 2318
60 74 #SUP: 2360
40 74 #SUP: 2381
29 74 #SUP: 2392
52 74 #SUP: 2396
58 74 #SUP: 2406
64 72 #SUP: 2133
42 72 #SUP: 2193
3 72 #SUP: 2175
25 72 #SUP: 2096
9 72 #SUP: 2085
5 72 #SUP: 2204
48 72 #SUP: 2231
56 72 #SUP: 2201
66 72 #SUP: 2345
34 72 #SUP: 2265
62 72 #SUP: 2246
7 72 #SUP: 2246
36 72 #SUP: 2253
60 72 #SUP: 2345
40 72 #SUP: 2335
29 72 #SUP: 2345
52 72 #SUP: 2345
58 72 #SUP: 2345
5 21 #SUP: 2089
21 48 #SUP: 2097
21 56 #SUP: 2081
21 66 #SUP: 2093
21 34 #SUP: 2113
21 62 #SUP: 2095
7 21 #SUP: 2163
21 36 #SUP: 2171
21 60 #SUP: 2182
21 40 #SUP: 2199
21 29 #SUP: 2210
21 52 #SUP: 2215
21 58 #SUP: 2224
54 56 #SUP: 2123
34 54 #SUP: 2111
54 62 #SUP: 2133
7 54 #SUP: 2131
36 54 #SUP: 2143
54 60 #SUP: 2169
40 54 #SUP: 2190
29 54 #SUP: 2201
52 54 #SUP: 2205
54 58 #SUP: 2215
27 48 #SUP: 2123
27 56 #SUP: 2082
27 62 #SUP: 2088
7 27 #SUP: 2134
27 36 #SUP: 2159
27 60 #SUP: 2170
27 40 #SUP: 2179
27 29 #SUP: 2198
27 52 #SUP: 2194
27 58 #SUP: 2204
5 38 #SUP: 2139
38 56 #SUP: 2101
34 38 #SUP: 2105
38 62 #SUP: 2150
7 38 #SUP: 2124
36 38 #SUP: 2105
38 60 #SUP: 2159
38 40 #SUP: 2196
29 38 #SUP: 2181
38 52 #SUP: 2189
38 58 #SUP: 2195
11 60 #SUP: 2089
11 40 #SUP: 2103
11 29 #SUP: 2114
11 52 #SUP: 2118
11 58 #SUP: 2128
11 52 58 #SUP: 2117
11 29 52 #SUP: 2103
11 29 58 #SUP: 2113
11 29 40 #SUP: 2088
11 40 52 #SUP: 2092
11 40 58 #SUP: 2102
11 52 60 #SUP: 2078
11 58 60 #SUP: 2088
38 52 58 #SUP: 2188
29 38 52 #SUP: 2174
29 38 58 #SUP: 2180
29 38 40 #SUP: 2181
38 40 52 #SUP: 2189
38 40 58 #SUP: 2195
38 40 60 #SUP: 2159
29 38 60 #SUP: 2146
38 52 60 #SUP: 2152
38 58 60 #SUP: 2158
36 38 40 #SUP: 2105
29 36 38 #SUP: 2090
36 38 52 #SUP: 2098
36 38 58 #SUP: 2104
7 38 60 #SUP: 2089
7 38 40 #SUP: 2124
7 29 38 #SUP: 2117
7 38 52 #SUP: 2117
7 38 58 #SUP: 2123
7 38 62 #SUP: 2078
38 60 62 #SUP: 2113
38 40 62 #SUP: 2150
29 38 62 #SUP: 2135
38 52 62 #SUP: 2143
38 58 62 #SUP: 2150
34 38 40 #SUP: 2105
29 34 38 #SUP: 2101
34 38 52 #SUP: 2099
34 38 58 #SUP: 2104
