72 #SUP: 2345
74 #SUP: 2407
17 #SUP: 2500
31 #SUP: 2526
46 #SUP: 2556
44 #SUP: 2612
64 #SUP: 2631
42 #SUP: 2714
3 #SUP: 2839
25 #SUP: 2860
9 #SUP: 2874
5 #SUP: 2971
48 #SUP: 3013
56 #SUP: 3021
66 #SUP: 3021
34 #SUP: 3040
62 #SUP: 3060
7 #SUP: 3076
36 #SUP: 3099
60 #SUP: 3149
40 #SUP: 3170
29 #SUP: 3181
52 #SUP: 3185
58 #SUP: 3195
52 58 #SUP: 3184
29 52 #SUP: 3170
29 58 #SUP: 3180
29 40 #SUP: 3155
40 52 #SUP: 3159
40 58 #SUP: 3169
40 60 #SUP: 3124
29 60 #SUP: 3136
52 60 #SUP: 3138
58 60 #SUP: 3148
36 60 #SUP: 3052
36 40 #SUP: 3073
29 36 #SUP: 3084
36 52 #SUP: 3088
36 58 #SUP: 3098
7 36 #SUP: 2979
7 60 #SUP: 3031
7 40 #SUP: 3050
7 29 #SUP: 3069
7 52 #SUP: 3065
7 58 #SUP: 3075
7 62 #SUP: 2940
36 62 #SUP: 2963
60 62 #SUP: 3014
40 62 #SUP: 3045
29 62 #SUP: 3045
52 62 #SUP: 3049
58 62 #SUP: 3060
34 62 #SUP: 2913
7 34 #SUP: 2930
34 36 #SUP: 2943
34 60 #SUP: 2995
34 40 #SUP: 3017
29 34 #SUP: 3036
34 52 #SUP: 3031
34 58 #SUP: 3039
34 66 #SUP: 2886
62 66 #SUP: 2892
7 66 #SUP: 2906
36 66 #SUP: 2924
60 66 #SUP: 3021
40 66 #SUP: 2997
29 66 #SUP: 3013
52 66 #SUP: 3010
58 66 #SUP: 3020
56 66 #SUP: 2846
34 56 #SUP: 2884
56 62 #SUP: 2923
7 56 #SUP: 2919
36 56 #SUP: 2924
56 60 #SUP: 2974
40 56 #SUP: 2996
29 56 #SUP: 3006
52 56 #SUP: 3016
56 58 #SUP: 3020
48 56 #SUP: 2838
48 66 #SUP: 2873
34 48 #SUP: 2857
48 62 #SUP: 2877
7 48 #SUP: 2893
36 48 #SUP: 2987
48 60 #SUP: 2986
40 48 #SUP: 2987
29 48 #SUP: 2998
48 52 #SUP: 3002
48 58 #SUP: 3012
5 48 #SUP: 2788
5 56 #SUP: 2803
5 66 #SUP: 2832
5 34 #SUP: 2889
5 62 #SUP: 2859
5 7 #SUP: 2859
5 36 #SUP: 2874
5 60 #SUP: 2924
5 40 #SUP: 2950
5 29 #SUP: 2964
5 52 #SUP: 2960
5 58 #SUP: 2970
5 9 #SUP: 2683
9 48 #SUP: 2691
9 56 #SUP: 2752
9 66 #SUP: 2715
9 34 #SUP: 2753
9 62 #SUP: 2750
7 9 #SUP: 2755
9 36 #SUP: 2777
9 60 #SUP: 2835
9 40 #SUP: 2852
9 29 #SUP: 2866
9 52 #SUP: 2866
9 58 #SUP: 2873
9 25 #SUP: 2543
5 25 #SUP: 2649
25 48 #SUP: 2749
25 56 #SUP: 2697
25 66 #SUP: 2715
25 34 #SUP: 2712
25 62 #SUP: 2738
7 25 #SUP: 2743
25 36 #SUP: 2794
25 60 #SUP: 2832
25 40 #SUP: 2834
25 29 #SUP: 2848
25 52 #SUP: 2850
25 58 #SUP: 2859
3 25 #SUP: 2520
3 9 #SUP: 2571
3 5 #SUP: 2639
3 48 #SUP: 2672
3 56 #SUP: 2704
3 66 #SUP: 2703
3 34 #SUP: 2706
3 62 #SUP: 2724
3 7 #SUP: 2765
3 36 #SUP: 2746
3 60 #SUP: 2805
3 40 #SUP: 2813
3 29 #SUP: 2839
3 52 #SUP: 2830
3 58 #SUP: 2839
3 42 #SUP: 2411
25 42 #SUP: 2416
9 42 #SUP: 2446
5 42 #SUP: 2562
42 48 #SUP: 2564
42 56 #SUP: 2570
42 66 #SUP: 2612
34 42 #SUP: 2602
42 62 #SUP: 2598
7 42 #SUP: 2603
36 42 #SUP: 2626
42 60 #SUP: 2688
40 42 #SUP: 2697
29 42 #SUP: 2702
42 52 #SUP: 2708
42 58 #SUP: 2713
42 64 #SUP: 2464
3 64 #SUP: 2353
25 64 #SUP: 2326
9 64 #SUP: 2365
5 64 #SUP: 2489
48 64 #SUP: 2478
56 64 #SUP: 2498
64 66 #SUP: 2497
34 64 #SUP: 2531
62 64 #SUP: 2524
7 64 #SUP: 2518
36 64 #SUP: 2551
60 64 #SUP: 2584
40 64 #SUP: 2630
29 64 #SUP: 2616
52 64 #SUP: 2630
58 64 #SUP: 2630
42 44 #SUP: 2250
3 44 #SUP: 2268
25 44 #SUP: 2352
9 44 #SUP: 2353
5 44 #SUP: 2461
44 48 #SUP: 2439
44 56 #SUP: 2471
44 66 #SUP: 2454
34 44 #SUP: 2480
44 62 #SUP: 2522
7 44 #SUP: 2500
36 44 #SUP: 2525
44 60 #SUP: 2565
40 44 #SUP: 2586
29 44 #SUP: 2597
44 52 #SUP: 2601
44 58 #SUP: 2611
3 46 #SUP: 2251
25 46 #SUP: 2300
9 46 #SUP: 2266
5 46 #SUP: 2385
46 48 #SUP: 2404
46 56 #SUP: 2405
46 66 #SUP: 2425
34 46 #SUP: 2429
46 62 #SUP: 2449
7 46 #SUP: 2436
36 46 #SUP: 2473
46 60 #SUP: 2517
40 46 #SUP: 2532
29 46 #SUP: 2541
46 52 #SUP: 2545
46 58 #SUP: 2555
31 42 #SUP: 2258
3 31 #SUP: 2360
9 31 #SUP: 2269
5 31 #SUP: 2367
31 48 #SUP: 2359
31 56 #SUP: 2371
31 66 #SUP: 2424
31 34 #SUP: 2395
31 62 #SUP: 2409
7 31 #SUP: 2435
31 36 #SUP: 2441
31 60 #SUP: 2509
31 40 #SUP: 2513
29 31 #SUP: 2517
31 52 #SUP: 2515
31 58 #SUP: 2526
3 17 #SUP: 2272
9 17 #SUP: 2280
5 17 #SUP: 2275
17 48 #SUP: 2339
17 56 #SUP: 2362
17 66 #SUP: 2349
17 34 #SUP: 2376
17 62 #SUP: 2368
7 17 #SUP: 2422
17 36 #SUP: 2404
17 60 #SUP: 2457
17 40 #SUP: 2474
17 29 #SUP: 2486
17 52 #SUP: 2489
17 58 #SUP: 2499
5 74 #SUP: 2240
56 74 #SUP: 2340
34 74 #SUP: 2290
62 74 #SUP: 2341
7 74 #SUP: 2321
36 74 #SUP: 2318
60 74 #SUP: 2360
40 74 #SUP: 2381
29 74 #SUP: 2392
52 74 #SUP: 2396
58 74 #SUP: 2406
66 72 #SUP: 2345
34 72 #SUP: 2265
62 72 #SUP: 2246
7 72 #SUP: 2246
36 72 #SUP: 2253
60 72 #SUP: 2345
40 72 #SUP: 2335
29 72 #SUP: 2345
52 72 #SUP: 2345
58 72 #SUP: 2345
52 58 72 #SUP: 2345
29 52 72 #SUP: 2345
29 58 72 #SUP: 2345
29 40 72 #SUP: 2335
40 52 72 #SUP: 2335
40 58 72 #SUP: 2335
40 60 72 #SUP: 2335
29 60 72 #SUP: 2345
52 60 72 #SUP: 2345
58 60 72 #SUP: 2345
36 60 72 #SUP: 2253
36 40 72 #SUP: 2243
29 36 72 #SUP: 2253
36 52 72 #SUP: 2253
36 58 72 #SUP: 2253
7 60 72 #SUP: 2246
7 29 72 #SUP: 2246
7 52 72 #SUP: 2246
7 58 72 #SUP: 2246
60 62 72 #SUP: 2246
40 62 72 #SUP: 2239
29 62 72 #SUP: 2246
52 62 72 #SUP: 2246
58 62 72 #SUP: 2246
34 60 72 #SUP: 2265
34 40 72 #SUP: 2255
29 34 72 #SUP: 2265
34 52 72 #SUP: 2265
34 58 72 #SUP: 2265
34 66 72 #SUP: 2265
62 66 72 #SUP: 2246
7 66 72 #SUP: 2246
36 66 72 #SUP: 2253
60 66 72 #SUP: 2345
40 66 72 #SUP: 2335
29 66 72 #SUP: 2345
52 66 72 #SUP: 2345
58 66 72 #SUP: 2345
52 58 74 #SUP: 2395
29 52 74 #SUP: 2381
29 58 74 #SUP: 2391
29 40 74 #SUP: 2366
40 52 74 #SUP: 2370
40 58 74 #SUP: 2380
40 60 74 #SUP: 2335
29 60 74 #SUP: 2347
52 60 74 #SUP: 2349
58 60 74 #SUP: 2359
36 60 74 #SUP: 2271
36 40 74 #SUP: 2292
29 36 74 #SUP: 2303
36 52 74 #SUP: 2307
36 58 74 #SUP: 2317
7 60 74 #SUP: 2276
7 40 74 #SUP: 2295
7 29 74 #SUP: 2314
7 52 74 #SUP: 2310
7 58 74 #SUP: 2320
7 62 74 #SUP: 2255
36 62 74 #SUP: 2252
60 62 74 #SUP: 2295
40 62 74 #SUP: 2326
29 62 74 #SUP: 2326
52 62 74 #SUP: 2330
58 62 74 #SUP: 2341
34 60 74 #SUP: 2245
34 40 74 #SUP: 2267
29 34 74 #SUP: 2286
34 52 74 #SUP: 2281
34 58 74 #SUP: 2289
56 62 74 #SUP: 2283
7 56 74 #SUP: 2272
36 56 74 #SUP: 2251
56 60 74 #SUP: 2293
40 56 74 #SUP: 2315
29 56 74 #SUP: 2325
52 56 74 #SUP: 2335
56 58 74 #SUP: 2339
5 58 74 #SUP: 2239
17 52 58 #SUP: 2488
17 29 52 #SUP: 2475
17 29 58 #SUP: 2485
17 29 40 #SUP: 2460
17 40 52 #SUP: 2463
17 40 58 #SUP: 2473
17 40 60 #SUP: 2432
17 29 60 #SUP: 2445
17 52 60 #SUP: 2446
17 58 60 #SUP: 2456
17 36 60 #SUP: 2361
17 36 40 #SUP: 2378
17 29 36 #SUP: 2390
17 36 52 #SUP: 2393
17 36 58 #SUP: 2403
7 17 36 #SUP: 2326
7 17 60 #SUP: 2381
7 17 40 #SUP: 2396
7 17 29 #SUP: 2416
7 17 52 #SUP: 2411
7 17 58 #SUP: 2421
7 17 62 #SUP: 2290
