74 #SUP: 2407
17 #SUP: 2500
31 #SUP: 2526
46 #SUP: 2556
44 #SUP: 2612
64 #SUP: 2631
42 #SUP: 2714
3 #SUP: 2839
25 #SUP: 2860
9 #SUP: 2874
5 #SUP: 2971
48 #SUP: 3013
56 #SUP: 3021
66 #SUP: 3021
34 #SUP: 3040
62 #SUP: 3060
7 #SUP: 3076
36 #SUP: 3099
60 #SUP: 3149
40 #SUP: 3170
29 #SUP: 3181
52 #SUP: 3185
58 #SUP: 3195
52 58 #SUP: 3184
29 52 #SUP: 3170
29 58 #SUP: 3180
29 40 #SUP: 3155
40 52 #SUP: 3159
40 58 #SUP: 3169
40 60 #SUP: 3124
29 60 #SUP: 3136
52 60 #SUP: 3138
58 60 #SUP: 3148
36 60 #SUP: 3052
36 40 #SUP: 3073
29 36 #SUP: 3084
36 52 #SUP: 3088
36 58 #SUP: 3098
7 36 #SUP: 2979
7 60 #SUP: 3031
7 40 #SUP: 3050
7 29 #SUP: 3069
7 52 #SUP: 3065
7 58 #SUP: 3075
7 62 #SUP: 2940
36 62 #SUP: 2963
60 62 #SUP: 3014
40 62 #SUP: 3045
29 62 #SUP: 3045
52 62 #SUP: 3049
58 62 #SUP: 3060
34 62 #SUP: 2913
7 34 #SUP: 2930
34 36 #SUP: 2943
34 60 #SUP: 2995
34 40 #SUP: 3017
29 34 #SUP: 3036
34 52 #SUP: 3031
34 58 #SUP: 3039
34 66 #SUP: 2886
62 66 #SUP: 2892
7 66 #SUP: 2906
36 66 #SUP: 2924
60 66 #SUP: 3021
40 66 #SUP: 2997
29 66 #SUP: 3013
52 66 #SUP: 3010
58 66 #SUP: 3020
56 66 #SUP: 2846
34 56 #SUP: 2884
56 62 #SUP: 2923
7 56 #SUP: 2919
36 56 #SUP: 2924
56 60 #SUP: 2974
40 56 #SUP: 2996
29 56 #SUP: 3006
52 56 #SUP: 3016
56 58 #SUP: 3020
48 56 #SUP: 2838
48 66 #SUP: 2873
34 48 #SUP: 2857
48 62 #SUP: 2877
7 48 #SUP: 2893
36 48 #SUP: 2987
48 60 #SUP: 2986
40 48 #SUP: 2987
29 48 #SUP: 2998
48 52 #SUP: 3002
48 58 #SUP: 3012
5 48 #SUP: 2788
5 56 #SUP: 2803
5 66 #SUP: 2832
5 34 #SUP: 2889
5 62 #SUP: 2859
5 7 #SUP: 2859
5 36 #SUP: 2874
5 60 #SUP: 2924
5 40 #SUP: 2950
5 29 #SUP: 2964
5 52 #SUP: 2960
5 58 #SUP: 2970
5 9 #SUP: 2683
9 48 #SUP: 2691
9 56 #SUP: 2752
9 66 #SUP: 2715
9 34 #SUP: 2753
9 62 #SUP: 2750
7 9 #SUP: 2755
9 36 #SUP: 2777
9 60 #SUP: 2835
9 40 #SUP: 2852
9 29 #SUP: 2866
9 52 #SUP: 2866
9 58 #SUP: 2873
9 25 #SUP: 2543
5 25 #SUP: 2649
25 48 #SUP: 2749
25 56 #SUP: 2697
25 66 #SUP: 2715
25 34 #SUP: 2712
25 62 #SUP: 2738
7 25 #SUP: 2743
25 36 #SUP: 2794
25 60 #SUP: 2832
25 40 #SUP: 2834
25 29 #SUP: 2848
25 52 #SUP: 2850
25 58 #SUP: 2859
3 25 #SUP: 2520
3 9 #SUP: 2571
3 5 #SUP: 2639
3 48 #SUP: 2672
3 56 #SUP: 2704
3 66 #SUP: 2703
3 34 #SUP: 2706
3 62 #SUP: 2724
3 7 #SUP: 2765
3 36 #SUP: 2746
3 60 #SUP: 2805
3 40 #SUP: 2813
3 29 #SUP: 2839
3 52 #SUP: 2830
3 58 #SUP: 2839
3 42 #SUP: 2411
25 42 #SUP: 2416
9 42 #SUP: 2446
5 42 #SUP: 2562
42 48 #SUP: 2564
42 56 #SUP: 2570
42 66 #SUP: 2612
34 42 #SUP: 2602
42 62 #SUP: 2598
7 42 #SUP: 2603
36 42 #SUP: 2626
42 60 #SUP: 2688
40 42 #SUP: 2697
29 42 #SUP: 2702
42 52 #SUP: 2708
42 58 #SUP: 2713
42 64 #SUP: 2464
5 64 #SUP: 2489
48 64 #SUP: 2478
56 64 #SUP: 2498
64 66 #SUP: 2497
34 64 #SUP: 2531
62 64 #SUP: 2524
7 64 #SUP: 2518
36 64 #SUP: 2551
60 64 #SUP: 2584
40 64 #SUP: 2630
29 64 #SUP: 2616
52 64 #SUP: 2630
58 64 #SUP: 2630
5 44 #SUP: 2461
44 48 #SUP: 2439
44 56 #SUP: 2471
44 66 #SUP: 2454
34 44 #SUP: 2480
44 62 #SUP: 2522
7 44 #SUP: 2500
36 44 #SUP: 2525
44 60 #SUP: 2565
40 44 #SUP: 2586
29 44 #SUP: 2597
44 52 #SUP: 2601
44 58 #SUP: 2611
46 48 #SUP: 2404
46 56 #SUP: 2405
46 66 #SUP: 2425
34 46 #SUP: 2429
46 62 #SUP: 2449
7 46 #SUP: 2436
36 46 #SUP: 2473
46 60 #SUP: 2517
40 46 #SUP: 2532
29 46 #SUP: 2541
46 52 #SUP: 2545
46 58 #SUP: 2555
31 66 #SUP: 2424
31 62 #SUP: 2409
7 31 #SUP: 2435
31 36 #SUP: 2441
31 60 #SUP: 2509
31 40 #SUP: 2513
29 31 #SUP: 2517
31 52 #SUP: 2515
31 58 #SUP: 2526
7 17 #SUP: 2422
17 36 #SUP: 2404
17 60 #SUP: 2457
17 40 #SUP: 2474
17 29 #SUP: 2486
17 52 #SUP: 2489
17 58 #SUP: 2499
58 74 #SUP: 2406
17 52 58 #SUP: 2488
17 29 52 #SUP: 2475
17 29 58 #SUP: 2485
17 29 40 #SUP: 2460
17 40 52 #SUP: 2463
17 40 58 #SUP: 2473
17 40 60 #SUP: 2432
17 29 60 #SUP: 2445
17 52 60 #SUP: 2446
17 58 60 #SUP: 2456
17 36 58 #SUP: 2403
7 17 29 #SUP: 2416
7 17 52 #SUP: 2411
7 17 58 #SUP: 2421
31 52 58 #SUP: 2515
29 31 52 #SUP: 2506
29 31 58 #SUP: 2517
29 31 40 #SUP: 2504
31 40 52 #SUP: 2502
31 40 58 #SUP: 2513
31 40 60 #SUP: 2496
29 31 60 #SUP: 2501
31 52 60 #SUP: 2498
31 58 60 #SUP: 2509
31 36 60 #SUP: 2424
31 36 40 #SUP: 2428
29 31 36 #SUP: 2432
31 36 52 #SUP: 2430
31 36 58 #SUP: 2441
7 31 60 #SUP: 2419
7 31 40 #SUP: 2422
7 29 31 #SUP: 2430
7 31 52 #SUP: 2424
7 31 58 #SUP: 2435
31 40 62 #SUP: 2401
29 31 62 #SUP: 2400
31 52 62 #SUP: 2398
31 58 62 #SUP: 2409
31 60 66 #SUP: 2424
31 40 66 #SUP: 2412
29 31 66 #SUP: 2420
31 52 66 #SUP: 2413
31 58 66 #SUP: 2424
46 52 58 #SUP: 2544
29 46 52 #SUP: 2530
29 46 58 #SUP: 2540
29 40 46 #SUP: 2517
40 46 52 #SUP: 2521
40 46 58 #SUP: 2531
40 46 60 #SUP: 2494
29 46 60 #SUP: 2504
46 52 60 #SUP: 2506
46 58 60 #SUP: 2516
36 46 60 #SUP: 2434
36 40 46 #SUP: 2449
29 36 46 #SUP: 2458
36 46 52 #SUP: 2462
36 46 58 #SUP: 2472
7 46 60 #SUP: 2399
7 40 46 #SUP: 2412
7 29 46 #SUP: 2429
7 46 52 #SUP: 2425
7 46 58 #SUP: 2435
46 60 62 #SUP: 2411
40 46 62 #SUP: 2436
29 46 62 #SUP: 2434
46 52 62 #SUP: 2438
46 58 62 #SUP: 2449
34 40 46 #SUP: 2408
29 34 46 #SUP: 2425
34 46 52 #SUP: 2420
34 46 58 #SUP: 2428
46 60 66 #SUP: 2425
40 46 66 #SUP: 2403
29 46 66 #SUP: 2417
46 52 66 #SUP: 2414
46 58 66 #SUP: 2424
46 52 56 #SUP: 2400
46 56 58 #SUP: 2404
46 48 58 #SUP: 2403
44 52 58 #SUP: 2600
29 44 52 #SUP: 2586
29 44 58 #SUP: 2596
29 40 44 #SUP: 2571
40 44 52 #SUP: 2575
40 44 58 #SUP: 2585
40 44 60 #SUP: 2540
29 44 60 #SUP: 2552
44 52 60 #SUP: 2554
44 58 60 #SUP: 2564
36 44 60 #SUP: 2478
36 40 44 #SUP: 2499
29 36 44 #SUP: 2510
36 44 52 #SUP: 2514
36 44 58 #SUP: 2524
7 36 44 #SUP: 2413
7 44 60 #SUP: 2455
7 40 44 #SUP: 2474
7 29 44 #SUP: 2493
7 44 52 #SUP: 2489
7 44 58 #SUP: 2499
7 44 62 #SUP: 2410
36 44 62 #SUP: 2435
44 60 62 #SUP: 2476
40 44 62 #SUP: 2507
29 44 62 #SUP: 2507
44 52 62 #SUP: 2511
44 58 62 #SUP: 2522
34 44 60 #SUP: 2435
34 40 44 #SUP: 2457
29 34 44 #SUP: 2476
34 44 52 #SUP: 2471
34 44 58 #SUP: 2479
44 60 66 #SUP: 2454
40 44 66 #SUP: 2430
29 44 66 #SUP: 2446
44 52 66 #SUP: 2443
44 58 66 #SUP: 2453
44 56 62 #SUP: 2405
44 56 60 #SUP: 2424
40 44 56 #SUP: 2446
29 44 56 #SUP: 2456
44 52 56 #SUP: 2466
44 56 58 #SUP: 2470
36 44 48 #SUP: 2415
44 48 60 #SUP: 2412
40 44 48 #SUP: 2413
29 44 48 #SUP: 2424
44 48 52 #SUP: 2428
44 48 58 #SUP: 2438
5 44 60 #SUP: 2414
5 40 44 #SUP: 2440
5 29 44 #SUP: 2454
5 44 52 #SUP: 2450
5 44 58 #SUP: 2460
52 58 64 #SUP: 2629
29 52 64 #SUP: 2615
29 58 64 #SUP: 2615
29 40 64 #SUP: 2615
40 52 64 #SUP: 2629
40 58 64 #SUP: 2629
40 60 64 #SUP: 2584
