5 #SUP: 2971
48 #SUP: 3013
56 #SUP: 3021
66 #SUP: 3021
34 #SUP: 3040
62 #SUP: 3060
7 #SUP: 3076
36 #SUP: 3099
60 #SUP: 3149
40 #SUP: 3170
29 #SUP: 3181
52 #SUP: 3185
58 #SUP: 3195
52 58 #SUP: 3184
29 52 #SUP: 3170
29 58 #SUP: 3180
29 40 #SUP: 3155
40 52 #SUP: 3159
40 58 #SUP: 3169
40 60 #SUP: 3124
29 60 #SUP: 3136
52 60 #SUP: 3138
58 60 #SUP: 3148
36 60 #SUP: 3052
36 40 #SUP: 3073
29 36 #SUP: 3084
36 52 #SUP: 3088
36 58 #SUP: 3098
7 36 #SUP: 2979
7 60 #SUP: 3031
7 40 #SUP: 3050
7 29 #SUP: 3069
7 52 #SUP: 3065
7 58 #SUP: 3075
7 62 #SUP: 2940
36 62 #SUP: 2963
60 62 #SUP: 3014
40 62 #SUP: 3045
29 62 #SUP: 3045
52 62 #SUP: 3049
58 62 #SUP: 3060
34 62 #SUP: 2913
7 34 #SUP: 2930
34 36 #SUP: 2943
34 60 #SUP: 2995
34 40 #SUP: 3017
29 34 #SUP: 3036
34 52 #SUP: 3031
34 58 #SUP: 3039
34 66 #SUP: 2886
62 66 #SUP: 2892
7 66 #SUP: 2906
36 66 #SUP: 2924
60 66 #SUP: 3021
40 66 #SUP: 2997
29 66 #SUP: 3013
52 66 #SUP: 3010
58 66 #SUP: 3020
34 56 #SUP: 2884
56 62 #SUP: 2923
7 56 #SUP: 2919
36 56 #SUP: 2924
56 60 #SUP: 2974
40 56 #SUP: 2996
29 56 #SUP: 3006
52 56 #SUP: 3016
56 58 #SUP: 3020
48 62 #SUP: 2877
7 48 #SUP: 2893
36 48 #SUP: 2987
48 60 #SUP: 2986
40 48 #SUP: 2987
29 48 #SUP: 2998
48 52 #SUP: 3002
48 58 #SUP: 3012
5 34 #SUP: 2889
5 60 #SUP: 2924
5 40 #SUP: 2950
5 29 #SUP: 2964
5 52 #SUP: 2960
5 58 #SUP: 2970
5 52 58 #SUP: 2959
5 29 52 #SUP: 2953
5 29 58 #SUP: 2963
5 29 40 #SUP: 2943
5 40 52 #SUP: 2939
5 40 58 #SUP: 2949
5 40 60 #SUP: 2904
5 29 60 #SUP: 2919
5 52 60 #SUP: 2913
5 58 60 #SUP: 2923
5 29 34 #SUP: 2885
5 34 52 #SUP: 2880
5 34 58 #SUP: 2888
48 52 58 #SUP: 3001
29 48 52 #SUP: 2987
29 48 58 #SUP: 2997
29 40 48 #SUP: 2972
40 48 52 #SUP: 2976
40 48 58 #SUP: 2986
40 48 60 #SUP: 2961
29 48 60 #SUP: 2973
48 52 60 #SUP: 2975
48 58 60 #SUP: 2985
36 48 60 #SUP: 2960
36 40 48 #SUP: 2961
29 36 48 #SUP: 2972
36 48 52 #SUP: 2976
36 48 58 #SUP: 2986
7 29 48 #SUP: 2886
7 48 52 #SUP: 2882
7 48 58 #SUP: 2892
48 58 62 #SUP: 2877
52 56 58 #SUP: 3015
29 52 56 #SUP: 3001
29 56 58 #SUP: 3005
29 40 56 #SUP: 2981
40 52 56 #SUP: 2991
40 56 58 #SUP: 2995
40 56 60 #SUP: 2950
29 56 60 #SUP: 2961
52 56 60 #SUP: 2969
56 58 60 #SUP: 2973
36 56 60 #SUP: 2877
36 40 56 #SUP: 2899
29 36 56 #SUP: 2909
36 52 56 #SUP: 2919
36 56 58 #SUP: 2923
7 40 56 #SUP: 2894
7 29 56 #SUP: 2912
7 52 56 #SUP: 2914
7 56 58 #SUP: 2918
56 60 62 #SUP: 2877
40 56 62 #SUP: 2909
29 56 62 #SUP: 2908
52 56 62 #SUP: 2918
56 58 62 #SUP: 2923
29 34 56 #SUP: 2880
34 52 56 #SUP: 2879
34 56 58 #SUP: 2883
52 58 66 #SUP: 3009
29 52 66 #SUP: 3002
29 58 66 #SUP: 3012
29 40 66 #SUP: 2989
40 52 66 #SUP: 2986
40 58 66 #SUP: 2996
40 60 66 #SUP: 2997
29 60 66 #SUP: 3013
52 60 66 #SUP: 3010
58 60 66 #SUP: 3020
36 60 66 #SUP: 2924
36 40 66 #SUP: 2900
29 36 66 #SUP: 2916
36 52 66 #SUP: 2913
36 58 66 #SUP: 2923
7 60 66 #SUP: 2906
7 40 66 #SUP: 2882
7 29 66 #SUP: 2902
7 52 66 #SUP: 2895
7 58 66 #SUP: 2905
