114 #SUP: 1253
98 #SUP: 1431
99 #SUP: 1483
3 #SUP: 1749
28 #SUP: 1891
53 #SUP: 1891
23 #SUP: 2084
36 #SUP: 2108
93 #SUP: 2194
76 #SUP: 2268
67 #SUP: 2276
63 #SUP: 2386
39 #SUP: 2518
59 #SUP: 2578
2 #SUP: 2692
34 #SUP: 2981
85 #SUP: 2981
86 #SUP: 2981
90 #SUP: 2981
86 90 #SUP: 2981
85 86 #SUP: 2981
85 90 #SUP: 2981
34 85 #SUP: 2981
34 86 #SUP: 2981
34 90 #SUP: 2981
2 34 #SUP: 2691
2 85 #SUP: 2691
2 86 #SUP: 2691
2 90 #SUP: 2691
2 59 #SUP: 2307
34 59 #SUP: 2578
59 85 #SUP: 2578
59 86 #SUP: 2578
59 90 #SUP: 2578
39 59 #SUP: 2115
2 39 #SUP: 2499
34 39 #SUP: 2518
39 85 #SUP: 2518
39 86 #SUP: 2518
39 90 #SUP: 2518
39 63 #SUP: 1923
59 63 #SUP: 2194
2 63 #SUP: 2115
34 63 #SUP: 2386
63 85 #SUP: 2386
63 86 #SUP: 2386
63 90 #SUP: 2386
63 67 #SUP: 1700
39 67 #SUP: 1813
59 67 #SUP: 1892
2 67 #SUP: 2005
34 67 #SUP: 2276
67 85 #SUP: 2276
67 86 #SUP: 2276
67 90 #SUP: 2276
67 76 #SUP: 2048
63 76 #SUP: 1692
39 76 #SUP: 1805
59 76 #SUP: 1884
2 76 #SUP: 1997
34 76 #SUP: 2268
76 85 #SUP: 2268
76 86 #SUP: 2268
76 90 #SUP: 2268
76 93 #SUP: 1500
67 93 #SUP: 1508
63 93 #SUP: 2002
39 93 #SUP: 1731
59 93 #SUP: 2194
2 93 #SUP: 1923
34 93 #SUP: 2194
85 93 #SUP: 2194
86 93 #SUP: 2194
90 93 #SUP: 2194
36 93 #SUP: 2089
36 76 #SUP: 1395
36 67 #SUP: 1403
36 63 #SUP: 1897
36 39 #SUP: 1750
36 59 #SUP: 2089
2 36 #SUP: 1827
34 36 #SUP: 2108
36 85 #SUP: 2108
36 86 #SUP: 2108
36 90 #SUP: 2108
23 36 #SUP: 1987
23 93 #SUP: 2083
23 76 #SUP: 1389
23 67 #SUP: 1397
23 63 #SUP: 1891
23 39 #SUP: 1731
23 59 #SUP: 2083
2 23 #SUP: 1828
23 34 #SUP: 2083
23 85 #SUP: 2083
23 86 #SUP: 2083
23 90 #SUP: 2083
53 76 #SUP: 1197
53 67 #SUP: 1205
53 63 #SUP: 1507
39 53 #SUP: 1795
53 59 #SUP: 1507
2 53 #SUP: 1891
34 53 #SUP: 1891
53 85 #SUP: 1891
53 86 #SUP: 1891
53 90 #SUP: 1891
28 53 #SUP: 1795
28 76 #SUP: 1197
28 67 #SUP: 1205
28 63 #SUP: 1507
28 39 #SUP: 1795
28 59 #SUP: 1507
2 28 #SUP: 1891
28 34 #SUP: 1891
