14 #SUP: 2657
63 #SUP: 2695
22 #SUP: 2807
8 #SUP: 3035
59 #SUP: 3122
25 #SUP: 3202
28 #SUP: 3265
41 #SUP: 3292
15 #SUP: 3319
24 #SUP: 3483
27 #SUP: 3636
43 #SUP: 3685
29 #SUP: 3743
21 #SUP: 3840
66 #SUP: 3852
31 #SUP: 3968
16 #SUP: 4128
18 #SUP: 4226
12 #SUP: 4229
17 #SUP: 4242
12 17 #SUP: 4228
12 18 #SUP: 4220
17 18 #SUP: 4226
16 18 #SUP: 4119
12 16 #SUP: 4122
16 17 #SUP: 4128
16 31 #SUP: 3891
18 31 #SUP: 3953
12 31 #SUP: 3955
17 31 #SUP: 3968
31 66 #SUP: 3601
16 66 #SUP: 3738
18 66 #SUP: 3836
12 66 #SUP: 3838
17 66 #SUP: 3852
21 66 #SUP: 3500
21 31 #SUP: 3609
16 21 #SUP: 3739
18 21 #SUP: 3824
12 21 #SUP: 3826
17 21 #SUP: 3840
21 29 #SUP: 3438
29 66 #SUP: 3402
29 31 #SUP: 3498
16 29 #SUP: 3637
18 29 #SUP: 3728
12 29 #SUP: 3730
17 29 #SUP: 3743
29 43 #SUP: 3256
21 43 #SUP: 3334
43 66 #SUP: 3348
31 43 #SUP: 3454
16 43 #SUP: 3592
18 43 #SUP: 3673
12 43 #SUP: 3673
17 43 #SUP: 3685
27 43 #SUP: 3166
27 29 #SUP: 3226
21 27 #SUP: 3503
27 66 #SUP: 3310
27 31 #SUP: 3410
16 27 #SUP: 3540
18 27 #SUP: 3621
12 27 #SUP: 3624
17 27 #SUP: 3636
24 27 #SUP: 2978
24 43 #SUP: 3049
24 29 #SUP: 3090
21 24 #SUP: 3150
24 66 #SUP: 3145
24 31 #SUP: 3273
16 24 #SUP: 3389
18 24 #SUP: 3469
12 24 #SUP: 3470
17 24 #SUP: 3483
15 24 #SUP: 2699
15 27 #SUP: 2876
15 43 #SUP: 2887
15 29 #SUP: 2926
15 21 #SUP: 3012
15 66 #SUP: 2981
15 31 #SUP: 3129
15 16 #SUP: 3232
15 18 #SUP: 3305
12 15 #SUP: 3306
15 17 #SUP: 3319
15 41 #SUP: 2616
24 41 #SUP: 2716
27 41 #SUP: 2856
41 43 #SUP: 2879
29 41 #SUP: 2935
21 41 #SUP: 3006
41 66 #SUP: 2979
31 41 #SUP: 3183
16 41 #SUP: 3218
18 41 #SUP: 3278
12 41 #SUP: 3283
17 41 #SUP: 3292
28 41 #SUP: 2595
15 28 #SUP: 2570
24 28 #SUP: 2671
27 28 #SUP: 2753
28 43 #SUP: 2847
28 29 #SUP: 2835
21 28 #SUP: 2912
28 66 #SUP: 2910
28 31 #SUP: 3094
16 28 #SUP: 3161
18 28 #SUP: 3256
12 28 #SUP: 3260
17 28 #SUP: 3265
25 28 #SUP: 2555
