94 #SUP: 768
41 #SUP: 774
110 #SUP: 802
9 #SUP: 823
107 #SUP: 870
37 #SUP: 873
24 #SUP: 898
13 #SUP: 937
6 #SUP: 945
10 #SUP: 1000
52 #SUP: 1090
54 #SUP: 1120
116 #SUP: 1145
56 #SUP: 1157
11 #SUP: 1159
114 #SUP: 1253
98 #SUP: 1431
99 #SUP: 1483
3 #SUP: 1749
28 #SUP: 1891
53 #SUP: 1891
23 #SUP: 2084
36 #SUP: 2108
93 #SUP: 2194
76 #SUP: 2268
67 #SUP: 2276
63 #SUP: 2386
39 #SUP: 2518
59 #SUP: 2578
2 #SUP: 2692
34 #SUP: 2981
85 #SUP: 2981
86 #SUP: 2981
90 #SUP: 2981
2 34 #SUP: 2691
2 85 #SUP: 2691
2 86 #SUP: 2691
2 90 #SUP: 2691
34 59 #SUP: 2578
59 85 #SUP: 2578
59 86 #SUP: 2578
59 90 #SUP: 2578
2 59 #SUP: 2307
34 39 #SUP: 2518
39 85 #SUP: 2518
39 86 #SUP: 2518
39 90 #SUP: 2518
39 59 #SUP: 2115
2 39 #SUP: 2499
34 63 #SUP: 2386
63 85 #SUP: 2386
63 86 #SUP: 2386
63 90 #SUP: 2386
39 63 #SUP: 1923
59 63 #SUP: 2194
2 63 #SUP: 2115
34 67 #SUP: 2276
67 85 #SUP: 2276
67 86 #SUP: 2276
67 90 #SUP: 2276
63 67 #SUP: 1700
39 67 #SUP: 1813
59 67 #SUP: 1892
2 67 #SUP: 2005
34 76 #SUP: 2268
76 85 #SUP: 2268
76 86 #SUP: 2268
76 90 #SUP: 2268
67 76 #SUP: 2048
63 76 #SUP: 1692
39 76 #SUP: 1805
59 76 #SUP: 1884
2 76 #SUP: 1997
34 93 #SUP: 2194
85 93 #SUP: 2194
86 93 #SUP: 2194
90 93 #SUP: 2194
76 93 #SUP: 1500
67 93 #SUP: 1508
63 93 #SUP: 2002
39 93 #SUP: 1731
59 93 #SUP: 2194
2 93 #SUP: 1923
34 36 #SUP: 2108
36 85 #SUP: 2108
36 86 #SUP: 2108
36 90 #SUP: 2108
36 93 #SUP: 2089
36 76 #SUP: 1395
36 67 #SUP: 1403
36 63 #SUP: 1897
36 39 #SUP: 1750
36 59 #SUP: 2089
2 36 #SUP: 1827
23 34 #SUP: 2083
23 85 #SUP: 2083
23 86 #SUP: 2083
23 90 #SUP: 2083
23 36 #SUP: 1987
23 93 #SUP: 2083
23 76 #SUP: 1389
23 67 #SUP: 1397
23 63 #SUP: 1891
23 39 #SUP: 1731
23 59 #SUP: 2083
2 23 #SUP: 1828
34 53 #SUP: 1891
53 85 #SUP: 1891
53 86 #SUP: 1891
53 90 #SUP: 1891
23 53 #SUP: 1123
36 53 #SUP: 1027
53 93 #SUP: 1123
53 76 #SUP: 1197
53 67 #SUP: 1205
53 63 #SUP: 1507
39 53 #SUP: 1795
53 59 #SUP: 1507
2 53 #SUP: 1891
28 34 #SUP: 1891
28 85 #SUP: 1891
28 86 #SUP: 1891
28 90 #SUP: 1891
28 53 #SUP: 1795
23 28 #SUP: 1027
28 36 #SUP: 1123
28 93 #SUP: 1123
28 76 #SUP: 1197
28 67 #SUP: 1205
28 63 #SUP: 1507
28 39 #SUP: 1795
28 59 #SUP: 1507
2 28 #SUP: 1891
3 34 #SUP: 1748
3 85 #SUP: 1748
3 86 #SUP: 1748
3 90 #SUP: 1748
3 28 #SUP: 1186
3 53 #SUP: 1202
3 23 #SUP: 1299
3 36 #SUP: 1307
3 93 #SUP: 1345
3 76 #SUP: 1209
3 67 #SUP: 1212
3 63 #SUP: 1441
3 39 #SUP: 1525
3 59 #SUP: 1537
2 3 #SUP: 1587
34 99 #SUP: 1483
85 99 #SUP: 1483
86 99 #SUP: 1483
90 99 #SUP: 1483
3 99 #SUP: 869
28 99 #SUP: 947
53 99 #SUP: 947
23 99 #SUP: 1043
36 99 #SUP: 1045
93 99 #SUP: 1099
76 99 #SUP: 1134
67 99 #SUP: 1141
63 99 #SUP: 1195
39 99 #SUP: 1251
59 99 #SUP: 1291
2 99 #SUP: 1347
34 98 #SUP: 1431
85 98 #SUP: 1431
86 98 #SUP: 1431
90 98 #SUP: 1431
3 98 #SUP: 836
28 98 #SUP: 944
53 98 #SUP: 896
23 98 #SUP: 992
36 98 #SUP: 1044
93 98 #SUP: 1047
76 98 #SUP: 1086
67 98 #SUP: 1087
63 98 #SUP: 1143
39 98 #SUP: 1248
59 98 #SUP: 1239
2 98 #SUP: 1296
34 114 #SUP: 1253
85 114 #SUP: 1253
86 114 #SUP: 1253
90 114 #SUP: 1253
28 114 #SUP: 768
53 114 #SUP: 768
76 114 #SUP: 1248
67 114 #SUP: 1248
63 114 #SUP: 768
39 114 #SUP: 1125
59 114 #SUP: 864
2 114 #SUP: 1120
11 34 #SUP: 1158
11 85 #SUP: 1158
11 86 #SUP: 1158
11 90 #SUP: 1158
11 28 #SUP: 1083
11 53 #SUP: 1035
11 93 #SUP: 755
11 63 #SUP: 947
11 39 #SUP: 1006
11 59 #SUP: 947
2 11 #SUP: 1132
34 56 #SUP: 1157
56 85 #SUP: 1157
56 86 #SUP: 1157
56 90 #SUP: 1157
3 56 #SUP: 852
28 56 #SUP: 1027
53 56 #SUP: 1123
23 56 #SUP: 1123
36 56 #SUP: 1052
56 93 #SUP: 1138
56 63 #SUP: 1138
39 56 #SUP: 1046
56 59 #SUP: 1138
2 56 #SUP: 1123
34 116 #SUP: 1145
85 116 #SUP: 1145
86 116 #SUP: 1145
90 116 #SUP: 1145
56 116 #SUP: 1145
3 116 #SUP: 840
28 116 #SUP: 1027
53 116 #SUP: 1123
23 116 #SUP: 1123
36 116 #SUP: 1040
93 116 #SUP: 1138
63 116 #SUP: 1138
39 116 #SUP: 1034
59 116 #SUP: 1138
2 116 #SUP: 1123
34 54 #SUP: 1120
54 85 #SUP: 1120
54 86 #SUP: 1120
54 90 #SUP: 1120
54 114 #SUP: 896
28 54 #SUP: 864
53 54 #SUP: 768
54 76 #SUP: 1120
54 67 #SUP: 1120
39 54 #SUP: 768
2 54 #SUP: 864
34 52 #SUP: 1090
52 85 #SUP: 1090
52 86 #SUP: 1090
52 90 #SUP: 1090
23 52 #SUP: 960
36 52 #SUP: 1081
52 93 #SUP: 1071
52 76 #SUP: 1071
52 67 #SUP: 1071
52 63 #SUP: 879
52 59 #SUP: 1071
2 52 #SUP: 800
10 34 #SUP: 1000
10 85 #SUP: 1000
10 86 #SUP: 1000
10 90 #SUP: 1000
10 23 #SUP: 1000
10 36 #SUP: 1000
10 93 #SUP: 1000
10 63 #SUP: 808
10 39 #SUP: 872
10 59 #SUP: 1000
2 10 #SUP: 872
6 34 #SUP: 945
6 85 #SUP: 945
6 86 #SUP: 945
6 90 #SUP: 945
6 76 #SUP: 771
6 67 #SUP: 776
6 59 #SUP: 753
2 6 #SUP: 817
13 34 #SUP: 937
13 85 #SUP: 937
13 86 #SUP: 937
13 90 #SUP: 937
13 39 #SUP: 761
13 59 #SUP: 809
2 13 #SUP: 809
24 34 #SUP: 898
24 85 #SUP: 898
24 86 #SUP: 898
24 90 #SUP: 898
24 54 #SUP: 864
24 114 #SUP: 773
24 28 #SUP: 864
24 53 #SUP: 768
24 76 #SUP: 879
24 67 #SUP: 879
24 39 #SUP: 787
2 24 #SUP: 864
34 37 #SUP: 873
37 85 #SUP: 873
37 86 #SUP: 873
37 90 #SUP: 873
24 37 #SUP: 777
37 54 #SUP: 768
37 114 #SUP: 768
28 37 #SUP: 768
37 53 #SUP: 864
37 76 #SUP: 873
37 67 #SUP: 873
37 39 #SUP: 768
2 37 #SUP: 864
34 107 #SUP: 870
85 107 #SUP: 870
86 107 #SUP: 870
90 107 #SUP: 870
76 107 #SUP: 870
67 107 #SUP: 870
9 34 #SUP: 823
9 85 #SUP: 823
9 86 #SUP: 823
9 90 #SUP: 823
9 76 #SUP: 823
9 67 #SUP: 823
34 110 #SUP: 802
85 110 #SUP: 802
86 110 #SUP: 802
90 110 #SUP: 802
86 90 #SUP: 2981
93 110 #SUP: 796
63 110 #SUP: 796
59 110 #SUP: 796
34 41 #SUP: 774
41 85 #SUP: 774
41 86 #SUP: 774
85 86 #SUP: 2981
41 90 #SUP: 774
85 90 #SUP: 2981
34 94 #SUP: 768
85 94 #SUP: 768
34 85 #SUP: 2981
86 94 #SUP: 768
34 86 #SUP: 2981
90 94 #SUP: 768
34 90 #SUP: 2981
37 94 #SUP: 768
24 94 #SUP: 768
54 94 #SUP: 768
94 114 #SUP: 768
28 94 #SUP: 768
53 94 #SUP: 768
76 94 #SUP: 768
67 94 #SUP: 768
39 94 #SUP: 768
2 94 #SUP: 768
86 90 94 #SUP: 768
34 86 90 #SUP: 2981
85 86 94 #SUP: 768
34 85 86 #SUP: 2981
85 90 94 #SUP: 768
34 85 90 #SUP: 2981
2 34 94 #SUP: 768
2 85 94 #SUP: 768
2 86 94 #SUP: 768
2 90 94 #SUP: 768
34 39 94 #SUP: 768
39 85 94 #SUP: 768
39 86 94 #SUP: 768
39 90 94 #SUP: 768
2 39 94 #SUP: 768
34 67 94 #SUP: 768
67 85 94 #SUP: 768
67 86 94 #SUP: 768
67 90 94 #SUP: 768
39 67 94 #SUP: 768
2 67 94 #SUP: 768
34 76 94 #SUP: 768
76 85 94 #SUP: 768
76 86 94 #SUP: 768
76 90 94 #SUP: 768
67 76 94 #SUP: 768
39 76 94 #SUP: 768
